Protein	Peptide	Header	Value
A	RRR	Condition1	1
A	RRR	Condition2	2
A	RRR	Condition3	3
A	RRR	Condition4	4
B	SSS	Condition1	5
B	SSS	Condition2	6
B	SSS	Condition3	7
B	SSS	Condition4	8
C	TTT	Condition1	9
C	TTT	Condition3	11
C	TTT	Condition4	12
D	UUU	Condition1	13
D	UUU	Condition2	14
D	UUU	Condition3	15
D	UUU	Condition4	16
E	VVV	Condition1	17
E	VVV	Condition3	18
E	VVV	Condition4	19
F	WWW	Condition1	20
F	WWW	Condition2	21
F	WWW	Condition4	22
G	XXX	Condition1	23
G	XXX	Condition2	24
G	XXX	Condition3	25
